alpha,precision_at_1,recall_at_1,ndcg_at_1,hr_at_1,map_at_1,precision_at_5,recall_at_5,ndcg_at_5,hr_at_5,map_at_5,precision_at_10,recall_at_10,ndcg_at_10,hr_at_10,map_at_10,precision_at_k,recall_at_k,ndcg_at_k,hr_at_k,map_at_k
0.0,0.5145,0.1715,0.5145,0.5145,0.5145,0.4313,0.7188333333333332,0.6250860068408312,0.959,0.5047277777777778,0.28589999999999993,0.953,0.7385875916215096,0.9725,0.6065433201058201,0.28589999999999993,0.953,0.7385875916215096,0.9725,0.6065433201058201
0.3,0.5415,0.1805,0.5415,0.5415,0.5415,0.43689999999999996,0.7281666666666666,0.6379576648395675,0.9685,0.5172722222222222,0.28755,0.9585,0.7495845236128157,0.981,0.6175170634920635,0.28755,0.9585,0.7495845236128157,0.981,0.6175170634920635
0.5,0.557,0.18566666666666667,0.557,0.557,0.557,0.44200000000000006,0.7366666666666666,0.6468625019240807,0.977,0.5250694444444445,0.28874999999999995,0.9625,0.7563420910820313,0.985,0.623889880952381,0.28874999999999995,0.9625,0.7563420910820313,0.985,0.623889880952381
0.6,0.5605,0.18683333333333335,0.5605,0.5605,0.5605,0.44270000000000004,0.7378333333333332,0.6479130246645329,0.978,0.5253777777777777,0.28955,0.9651666666666666,0.758179746822698,0.987,0.6248583994708995,0.28955,0.9651666666666666,0.758179746822698,0.987,0.6248583994708995
0.7,0.557,0.18566666666666667,0.557,0.557,0.557,0.44470000000000004,0.7411666666666665,0.6486440359374003,0.9825,0.5250694444444444,0.2909999999999999,0.97,0.7595687243238551,0.9915,0.6250623015873016,0.2909999999999999,0.97,0.7595687243238551,0.9915,0.6250623015873016
1.0,0.3275,0.10916666666666666,0.3275,0.3275,0.3275,0.23750000000000004,0.39583333333333326,0.3387889720366561,0.9745,0.21970277777777777,0.2909,0.9696666666666668,0.6162304338063413,0.989,0.4385136904761904,0.2909,0.9696666666666668,0.6162304338063413,0.989,0.4385136904761904
