model,threshold,mean_precision,mean_recall,mean_f1
sbert,0.38,0.010860998574504075,0.44575,0.021088078350058905
sbert,0.39,0.011037115708878834,0.42225,0.021368402738844137
sbert,0.4,0.011197731012329067,0.3995,0.02160804084281413
sbert,0.41,0.011317330618673405,0.37675,0.02175993970406048
sbert,0.42,0.01145452397480454,0.35575,0.02194463157832964
sbert,0.43,0.011668202516758824,0.33825,0.022267134278026516
sbert,0.44,0.0118311280194326,0.31825,0.022481477114782322
sbert,0.45,0.01208449701491241,0.3,0.022847310161281484
sbert,0.46,0.012175194251726765,0.27925,0.022883651984394633
sbert,0.47,0.012372357938757489,0.26,0.023100335327215768
sbert,0.48,0.012737767134787591,0.2455,0.023605465895118947
sbert,0.49,0.01281053343882441,0.229,0.023587242792516304
sbert,0.5,0.012940293103854824,0.21325,0.023634777107745822
tfidf,0.01,0.021216384645783584,0.26975,0.03640937311044286
tfidf,0.02,0.02121550242635441,0.26325,0.036387795957594844
tfidf,0.03,0.02126287436277588,0.25175,0.036403454811280114
tfidf,0.04,0.021539576522800752,0.24025,0.03679955146717247
tfidf,0.05,0.021906466457742194,0.22725,0.037236178526570185
tfidf,0.06,0.022156420219328787,0.21075,0.0373939107312222
tfidf,0.07,0.022309052375761966,0.19675,0.03737688615652993
tfidf,0.08,0.022585057693668774,0.18275,0.03750563374548959
tfidf,0.09,0.02273460122650124,0.173,0.03758222838773725
tfidf,0.1,0.022949201033941304,0.16225,0.037652159594023585
tfidf,0.11,0.023325058646867805,0.15425,0.03795792437470326
tfidf,0.12,0.023395484906636458,0.14525,0.037671280312407115
tfidf,0.13,0.023606827558082577,0.13775,0.03768280237602187
tfidf,0.14,0.023654045023535745,0.13075,0.03749012373146838
tfidf,0.15,0.023855041984715372,0.1235,0.03744302270511534
tfidf,0.16,0.024249197787594035,0.11775,0.03740136245020364
tfidf,0.17,0.024084961761929383,0.1115,0.036800675213965926
tfidf,0.18,0.023815215000832078,0.1065,0.036318369993686164
tfidf,0.19,0.023919246745268876,0.10325,0.036283500116925986
tfidf,0.2,0.024322954687488667,0.0995,0.036517678228873106
tfidf,0.21,0.024470727301403608,0.096,0.03641966685976555
tfidf,0.22,0.024028973311475642,0.09075,0.03549392860488341
tfidf,0.23,0.023779282298765525,0.08675,0.03489622377327284
tfidf,0.24,0.023924158236369057,0.08375,0.03473556580897325
tfidf,0.25,0.023996375597679778,0.08025,0.034463989487405325
tfidf,0.26,0.023539311452125386,0.0755,0.033448301798716745
tfidf,0.27,0.023822889352055975,0.073,0.033423577379157535
tfidf,0.28,0.02382269124097474,0.07,0.03293972195333196
tfidf,0.29,0.023127509668494875,0.0665,0.03182803592099058
tfidf,0.3,0.023520128988801587,0.06425,0.03177189972033265
tfidf,0.31,0.023799640993681242,0.063,0.03193199858127843
tfidf,0.32,0.02337703596798798,0.05975,0.031097177610258108
tfidf,0.33,0.02349400342304754,0.058,0.03104866854851375
tfidf,0.34,0.02328065961815962,0.056,0.030533167649344124
tfidf,0.35,0.02394371114996115,0.05575,0.031169509085685557
tfidf,0.36,0.024252949827949826,0.055,0.03133421889278667
tfidf,0.37,0.024146463258963257,0.053,0.030862733025712564
tfidf,0.38,0.02407287524566936,0.05125,0.030359118556022583
tfidf,0.39,0.023374212592962594,0.04975,0.029504874700462935
tfidf,0.4,0.024096900760058656,0.04925,0.030014044697132935
tfidf,0.41,0.024444574869574867,0.0485,0.0301411800617683
tfidf,0.42,0.024295164067958185,0.0475,0.029837462842455104
tfidf,0.43,0.024271623515373517,0.04625,0.029568205405705407
tfidf,0.44,0.024632220557220558,0.04575,0.029756924040012275
tfidf,0.45,0.024683411033411033,0.045,0.02966069388128212
tfidf,0.46,0.02505342019092019,0.04475,0.029961285936285935
tfidf,0.47,0.025053829503829506,0.04325,0.029611815961815963
tfidf,0.48,0.0243504329004329,0.041,0.028445729270729272
tfidf,0.49,0.02448219696969697,0.04,0.028309160284160285
tfidf,0.5,0.02371969696969697,0.03825,0.027329290154290156
