model,precision_at_1,recall_at_1,ndcg_at_1,hr_at_1,map_at_1,precision_at_5,recall_at_5,ndcg_at_5,hr_at_5,map_at_5,precision_at_10,recall_at_10,ndcg_at_10,hr_at_10,map_at_10,precision_at_k,recall_at_k,ndcg_at_k,hr_at_k,map_at_k
tfidf,0.3275,0.10916666666666666,0.3275,0.3275,0.3275,0.23750000000000004,0.39583333333333326,0.3387889720366561,0.9745,0.21970277777777777,0.2909,0.9696666666666668,0.6162304338063413,0.989,0.4385136904761904,0.2909,0.9696666666666668,0.6162304338063413,0.989,0.4385136904761904
sbert,0.5755,0.19183333333333333,0.5755,0.5755,0.5755,0.5211999999999999,0.8686666666666666,0.7358199394182056,0.945,0.627838888888889,0.28049999999999986,0.935,0.7684375018174051,0.9595,0.6579082671957671,0.28049999999999986,0.935,0.7684375018174051,0.9595,0.6579082671957671
lightfm,0.5145,0.1715,0.5145,0.5145,0.5145,0.4313,0.7188333333333332,0.6250860068408312,0.959,0.5047277777777778,0.28589999999999993,0.953,0.7385875916215096,0.9725,0.6065433201058201,0.28589999999999993,0.953,0.7385875916215096,0.9725,0.6065433201058201
ncf,0.2975,0.09916666666666665,0.2975,0.2975,0.2975,0.5095999999999999,0.8493333333333333,0.6587637848272859,0.9465,0.5350194444444444,0.28064999999999996,0.9355,0.7007204496100945,0.9595,0.573759722222222,0.28064999999999996,0.9355,0.7007204496100945,0.9595,0.573759722222222
random,0.3805,0.12683333333333333,0.3805,0.3805,0.3805,0.39770000000000005,0.6628333333333334,0.5479441053970389,0.9255,0.42142499999999994,0.27719999999999995,0.924,0.6746586187911204,0.9395,0.5344175925925926,0.27719999999999995,0.924,0.6746586187911204,0.9395,0.5344175925925926
hybrid_alpha_0.6,0.5605,0.18683333333333335,0.5605,0.5605,0.5605,0.44270000000000004,0.7378333333333332,0.6479130246645329,0.978,0.5253777777777777,0.28955,0.9651666666666666,0.758179746822698,0.987,0.6248583994708995,0.28955,0.9651666666666666,0.758179746822698,0.987,0.6248583994708995
hybrid_best_alpha,0.557,0.18566666666666667,0.557,0.557,0.557,0.44470000000000004,0.7411666666666665,0.6486440359374003,0.9825,0.5250694444444444,0.2909999999999999,0.97,0.7595687243238551,0.9915,0.6250623015873016,0.2909999999999999,0.97,0.7595687243238551,0.9915,0.6250623015873016
