model,precision_at_1,recall_at_1,ndcg_at_1,hr_at_1,map_at_1,precision_at_5,recall_at_5,ndcg_at_5,hr_at_5,map_at_5,precision_at_10,recall_at_10,ndcg_at_10,hr_at_10,map_at_10,precision_at_k,recall_at_k,ndcg_at_k,hr_at_k,map_at_k,alpha
tfidf,0.3275,0.1091666666666666,0.3275,0.3275,0.3275,0.2375,0.3958333333333332,0.3387889720366561,0.9745,0.2197027777777777,0.2909,0.9696666666666668,0.6162304338063413,0.989,0.4385136904761904,0.2909,0.9696666666666668,0.6162304338063413,0.989,0.4385136904761904,
sbert,0.5755,0.1918333333333333,0.5755,0.5755,0.5755,0.5211999999999999,0.8686666666666666,0.7358199394182056,0.945,0.627838888888889,0.2804999999999998,0.935,0.7684375018174051,0.9595,0.6579082671957671,0.2804999999999998,0.935,0.7684375018174051,0.9595,0.6579082671957671,
lightfm,0.5145,0.1715,0.5145,0.5145,0.5145,0.4313,0.7188333333333332,0.6250860068408312,0.959,0.5047277777777778,0.2858999999999999,0.953,0.7385875916215096,0.9725,0.6065433201058201,0.2858999999999999,0.953,0.7385875916215096,0.9725,0.6065433201058201,
ncf,0.2975,0.0991666666666666,0.2975,0.2975,0.2975,0.5095999999999999,0.8493333333333333,0.6587637848272859,0.9465,0.5350194444444444,0.2806499999999999,0.9355,0.7007204496100945,0.9595,0.573759722222222,0.2806499999999999,0.9355,0.7007204496100945,0.9595,0.573759722222222,
random,0.3805,0.1268333333333333,0.3805,0.3805,0.3805,0.3977,0.6628333333333334,0.5479441053970389,0.9255,0.4214249999999999,0.2771999999999999,0.924,0.6746586187911204,0.9395,0.5344175925925926,0.2771999999999999,0.924,0.6746586187911204,0.9395,0.5344175925925926,
hybrid_alpha_0.6,0.5605,0.1868333333333333,0.5605,0.5605,0.5605,0.4427,0.7378333333333332,0.6479130246645329,0.978,0.5253777777777777,0.28955,0.9651666666666666,0.758179746822698,0.987,0.6248583994708995,0.28955,0.9651666666666666,0.758179746822698,0.987,0.6248583994708995,0.6
hybrid_best_alpha,0.557,0.1856666666666666,0.557,0.557,0.557,0.4447,0.7411666666666665,0.6486440359374003,0.9825,0.5250694444444444,0.2909999999999999,0.97,0.7595687243238551,0.9915,0.6250623015873016,0.2909999999999999,0.97,0.7595687243238551,0.9915,0.6250623015873016,0.7
